model,benchmark,problem_id,generated,score,passed,error
1.5b,humaneval,HumanEval/28,"```python
from typing import List

def concatenate(strings: List[str]) -> str:
    """""" Concatenate list of strings into a single string
    >>> concatenate([])
    ''
    >>> concatenate(['a', 'b', 'c'])
    'abc'
    """"""
    result = """"
    for s in strings:
        result += s
    return result
```",1.0,True,
1.5b,humaneval,HumanEval/33,"```python
from typing import *
from collections import *

def sort_third(l: List[int]) -> List[int]:
    """"""This function takes a list l and returns a list l' such that
    l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal
    to the values of the corresponding indicies of l, but sorted.
    >>> sort_third([1, 2, 3])
    [1, 2, 3]
    >>> sort_third([5, 6, 3, 4, 8, 9, 2])
    [2, 6, 3, 4, 8, 9, 5]
    """"""
    # Extract elements at indices divisible by 3
    third_elements = [l[i] for i in range(0, len(l), 3)]
    
    # Sort the extracted elements
    third_elements.sort()
    
    # Create a new list with sorted elements at indices divisible by 3
    result = [third_elements[i // 3] if i % 3 == 0 else l[i] for i in range(len(l))]
    
    return result
```",1.0,True,
1.5b,humaneval,HumanEval/35,"```python
from typing import List

def max_element(l: List[int]) -> int:
    """"""Return maximum element in the list.
    >>> max_element([1, 2, 3])
    3
    >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    123
    """"""
    if not l:
        raise ValueError(""List is empty"")
    
    max_val = l[0]
    for num in l[1:]:
        if num > max_val:
            max_val = num
    
    return max_val
```",1.0,True,
1.5b,humaneval,HumanEval/39,"```python
from typing import *
import math

def prime_fib(n: int):
    """"""
    prime_fib returns n-th number that is a Fibonacci number and it's also prime.
    >>> prime_fib(1)
    2
    >>> prime_fib(2)
    3
    >>> prime_fib(3)
    5
    >>> prime_fib(4)
    13
    >>> prime_fib(5)
    89
    """"""
    def is_prime(num):
        if num <= 1:
            return False
        for i in range(2, int(math.sqrt(num)) + 1):
            if num % i == 0:
                return False
        return True

    fib_sequence = [0, 1]
    count = 2
    while len(fib_sequence) < n:
        next_fib = fib_sequence[-1] + fib_sequence[-2]
        fib_sequence.append(next_fib)
        if is_prime(next_fib):
            count += 1

    return fib_sequence[n-1]
```",0.0,False,AssertionError
1.5b,humaneval,HumanEval/40,"```python

from typing import List

def triples_sum_to_zero(l: List[int]) -> bool:
    """"""
    triples_sum_to_zero takes a list of integers as an input.
    it returns True if there are three distinct elements in the list that
    sum to zero, and False otherwise.

    >>> triples_sum_to_zero([1, 3, 5, 0])
    False
    >>> triples_sum_to_zero([1, 3, -2, 1])
    True
    >>> triples_sum_to_zero([1, 2, 3, 7])
    False
    >>> triples_sum_to_zero([2, 4, -5, 3, 9, 7])
    True
    >>> triples_sum_to_zero([1])
    False
    """"""
    l.sort()
    for i in range(len(l) - 2):
        left = i + 1
        right = len(l) - 1
        while left < right:
            current_sum = l[i] + l[left] + l[right]
            if current_sum == 0:
                return True
            elif current_sum < 0:
                left += 1
            else:
                right -= 1
    return False
```",1.0,True,
1.5b,humaneval,HumanEval/44,"```python

from typing import *
from collections import *

def change_base(x: int, base: int):
    """"""Change numerical base of input number x to base.
    return string representation after the conversion.
    base numbers are less than 10.
    >>> change_base(8, 3)
    '22'
    >>> change_base(8, 2)
    '1000'
    >>> change_base(7, 2)
    '111'
    """"""
    if base < 2 or base > 9:
        raise ValueError(""Base must be between 2 and 9"")
    
    result = """"
    while x > 0:
        remainder = x % base
        result = str(remainder) + result
        x //= base
    
    return result
```",1.0,True,
1.5b,humaneval,HumanEval/45,"```python

from typing import *
from collections import *

def triangle_area(a: float, h: float) -> float:
    """"""Given length of a side and high return area for a triangle.
    >>> triangle_area(5, 3)
    7.5
    """"""
    return 0.5 * a * h
```",1.0,True,
1.5b,humaneval,HumanEval/48,"```python
from typing import *
from collections import *

def is_palindrome(text: str) -> bool:
    """"""
    Checks if given string is a palindrome
    >>> is_palindrome('')
    True
    >>> is_palindrome('aba')
    True
    >>> is_palindrome('aaaaa')
    True
    >>> is_palindrome('zbcd')
    False
    """"""
    return text == text[::-1]
```",1.0,True,
1.5b,humaneval,HumanEval/50,"```python

from typing import *
from collections import *

def encode_shift(s: str):
    """"""
    returns encoded string by shifting every character by 5 in the alphabet.
    """"""
    return """".join([chr(((ord(ch) + 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])

def decode_shift(s: str):
    """"""
    takes as input string encoded with encode_shift function. Returns decoded string.
    """"""
    return """".join([chr(((ord(ch) - 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])
```",1.0,True,
1.5b,humaneval,HumanEval/55,"```python
from typing import *
from collections import *

def fib(n: int):
    """"""Return n-th Fibonacci number.
    >>> fib(10)
    55
    >>> fib(1)
    1
    >>> fib(8)
    21
    """"""
    if n <= 1:
        return n
    else:
        a, b = 0, 1
        for _ in range(2, n + 1):
            a, b = b, a + b
        return b
```",1.0,True,
1.5b,humaneval,HumanEval/56,"```python

from typing import *
from collections import *

def correct_bracketing(brackets: str):
    """""" brackets is a string of ""<"" and "">"".
    return True if every opening bracket has a corresponding closing bracket.

    >>> correct_bracketing(""<"")
    False
    >>> correct_bracketing(""<>"")
    True
    >>> correct_bracketing(""<<><>>"")
    True
    >>> correct_bracketing(""><<>"")
    False
    """"""
    stack = []
    for char in brackets:
        if char == '<':
            stack.append(char)
        elif char == '>':
            if not stack or stack.pop() != '<':
                return False
    return len(stack) == 0
```",1.0,True,
1.5b,humaneval,HumanEval/57,"```python

from typing import *
from collections import *

def monotonic(l: List[int]) -> bool:
    """"""Return True is list elements are monotonically increasing or decreasing.
    >>> monotonic([1, 2, 4, 20])
    True
    >>> monotonic([1, 20, 4, 10])
    False
    >>> monotonic([4, 1, 0, -10])
    True
    """"""
    if len(l) <= 1:
        return True
    
    direction = None
    for i in range(1, len(l)):
        if direction is None:
            if l[i] > l[i-1]:
                direction = 'increasing'
            elif l[i] < l[i-1]:
                direction = 'decreasing'
        else:
            if direction == 'increasing' and l[i] < l[i-1]:
                return False
            elif direction == 'decreasing' and l[i] > l[i-1]:
                return False
    
    return True
```",1.0,True,
1.5b,humaneval,HumanEval/58,"```python

from typing import List

def common(l1: List[int], l2: List[int]) -> List[int]:
    """"""Return sorted unique common elements for two lists.
    >>> common([1, 4, 3, 34, 653, 2, 5], [5, 7, 1, 5, 9, 653, 121])
    [1, 5, 653]
    >>> common([5, 3, 2, 8], [3, 2])
    [2, 3]
    """"""
    # Convert lists to sets to remove duplicates and find intersection
    set1 = set(l1)
    set2 = set(l2)
    
    # Find common elements and convert back to list
    common_elements = list(set1.intersection(set2))
    
    # Sort the list of common elements
    common_elements.sort()
    
    return common_elements
```",1.0,True,
1.5b,humaneval,HumanEval/59,"```python
from typing import *
import math

def largest_prime_factor(n: int):
    """"""Return the largest prime factor of n. Assume n > 1 and is not a prime.
    >>> largest_prime_factor(13195)
    29
    >>> largest_prime_factor(2048)
    2
    """"""
    # Start with the smallest prime number
    largest_factor = -1
    
    # Divide n by 2 until it's odd
    while n % 2 == 0:
        largest_factor = 2
        n //= 2
    
    # Now n must be odd, so we can skip one element (Note i = i + 2)
    for i in range(3, int(math.sqrt(n)) + 1, 2):
        # While i divides n, update largest_factor and divide n
        while n % i == 0:
            largest_factor = i
            n //= i
    
    # If n is a prime number greater than 2
    if n > 2:
        largest_factor = n
    
    return largest_factor
```",1.0,True,
1.5b,humaneval,HumanEval/62,"```python
from typing import List

def derivative(xs: List[float]) -> List[float]:
    """"""
    xs represent coefficients of a polynomial.
    xs[0] + xs[1] * x + xs[2] * x^2 + ....
     Return derivative of this polynomial in the same form.
    >>> derivative([3, 1, 2, 4, 5])
    [1, 4, 12, 20]
    >>> derivative([1, 2, 3])
    [2, 6]
    """"""
    return [i * xs[i] for i in range(1, len(xs))]
```",1.0,True,
1.5b,humaneval,HumanEval/68,"```python
from typing import List

def pluck(arr: List[int]) -> List[int]:
    if not arr:
        return []

    min_even = float('inf')
    min_index = -1

    for i, val in enumerate(arr):
        if val % 2 == 0 and val < min_even:
            min_even = val
            min_index = i

    if min_index == -1:
        return []

    return [min_even, min_index]
```",1.0,True,
1.5b,humaneval,HumanEval/70,"```python
from typing import List

def strange_sort_list(lst: List[int]) -> List[int]:
    """"""
    Given list of integers, return list in strange order.
    Strange sorting, is when you start with the minimum value,
    then maximum of the remaining integers, then minimum and so on.

    Examples:
    strange_sort_list([1, 2, 3, 4]) == [1, 4, 2, 3]
    strange_sort_list([5, 5, 5, 5]) == [5, 5, 5, 5]
    strange_sort_list([]) == []
    """"""
    sorted_lst = []
    while lst:
        # Append the smallest element
        sorted_lst.append(min(lst))
        # Remove the smallest element from the list
        lst.remove(min(lst))
        # If there are still elements left, append the largest element
        if lst:
            sorted_lst.append(max(lst))
            # Remove the largest element from the list
            lst.remove(max(lst))
    return sorted_lst
```",1.0,True,
1.5b,humaneval,HumanEval/71,"```python
import math

def triangle_area(a, b, c):
    """"""
    Given the lengths of the three sides of a triangle. Return the area of
    the triangle rounded to 2 decimal points if the three sides form a valid triangle. 
    Otherwise return -1
    Three sides make a valid triangle when the sum of any two sides is greater 
    than the third side.
    Example:
    triangle_area(3, 4, 5) == 6.00
    triangle_area(1, 2, 10) == -1
    """"""
    # Check if the sides form a valid triangle
    if a + b <= c or a + c <= b or b + c <= a:
        return -1
    
    # Calculate the semi-perimeter
    s = (a + b + c) / 2
    
    # Calculate the area using Heron's formula
    area = math.sqrt(s * (s - a) * (s - b) * (s - c))
    
    # Round the area to 2 decimal points
    return round(area, 2)
```",1.0,True,
1.5b,humaneval,HumanEval/77,"```python
import math

def iscube(a):
    """"""
    Write a function that takes an integer a and returns True 
    if this ingeger is a cube of some integer number.
    Note: you may assume the input is always valid.
    Examples:
    iscube(1) ==> True
    iscube(2) ==> False
    iscube(-1) ==> True
    iscube(64) ==> True
    iscube(0) ==> True
    iscube(180) ==> False
    """"""
    # Check if the absolute value of a is a perfect cube
    root = round(math.pow(abs(a), 1/3))
    return abs(root**3 - a) < 1e-9
```",0.0,False,AssertionError: Third test error: False
1.5b,humaneval,HumanEval/86,"```python
import re

def anti_shuffle(s):
    """"""
    Write a function that takes a string and returns an ordered version of it.
    Ordered version of string, is a string where all words (separated by space)
    are replaced by a new word where all the characters arranged in
    ascending order based on ascii value.
    Note: You should keep the order of words and blank spaces in the sentence.

    For example:
    anti_shuffle('Hi') returns 'Hi'
    anti_shuffle('hello') returns 'ehllo'
    anti_shuffle('Hello World!!!') returns 'Hello !!!Wdlor'
    """"""
    # Split the string into words
    words = s.split()
    
    # Sort each word alphabetically
    sorted_words = [sorted(word) for word in words]
    
    # Join the sorted words back into a string
    ordered_string = ' '.join(sorted_words)
    
    return ordered_string
```",0.0,False,"TypeError: sequence item 0: expected str instance, list found"
1.5b,humaneval,HumanEval/87,"```python
from typing import List, Tuple

def get_row(lst: List[List[int]], x: int) -> List[Tuple[int, int]]:
    result = []
    for i, row in enumerate(lst):
        if x in row:
            result.append((i, row.index(x)))
    result.sort(key=lambda x: (x[0], -x[1]))
    return result
```",0.0,False,AssertionError
1.5b,humaneval,HumanEval/93,"```python
import string

def encode(message):
    """"""
    Write a function that takes a message, and encodes in such a 
    way that it swaps case of all letters, replaces all vowels in 
    the message with the letter that appears 2 places ahead of that 
    vowel in the english alphabet. 
    Assume only letters. 
    
    Examples:
    >>> encode('test')
    'TGST'
    >>> encode('This is a message')
    'tHKS KS C MGSSCGG'
    """"""
    
    # Define the mapping for vowels and their replacements
    vowel_mapping = {
        'a': 'c', 'e': 'g', 'i': 'k', 'o': 'q', 'u': 'w',
        'A': 'C', 'E': 'G', 'I': 'K', 'O': 'Q', 'U': 'W'
    }
    
    # Swap case and replace vowels
    encoded_message = ''.join(
        char.swapcase() if char.isalpha() else char
        for char in message
        if char.lower() not in vowel_mapping
    )
    
    # Replace vowels with their replacements
    for vowel, replacement in vowel_mapping.items():
        encoded_message = encoded_message.replace(vowel, replacement)
    
    return encoded_message
```",0.0,False,AssertionError: This prints if this assert fails 1 (good for debugging!)
1.5b,humaneval,HumanEval/97,"```python
from typing import *
from collections import *

def multiply(a: int, b: int) -> int:
    """"""Complete the function that takes two integers and returns 
    the product of their unit digits.
    Assume the input is always valid.
    Examples:
    multiply(148, 412) should return 16.
    multiply(19, 28) should return 72.
    multiply(2020, 1851) should return 0.
    multiply(14,-15) should return 20.
    """"""
    # Extract the unit digit of each number
    unit_digit_a = abs(a) % 10
    unit_digit_b = abs(b) % 10
    
    # Multiply the unit digits
    result = unit_digit_a * unit_digit_b
    
    return result
```",1.0,True,
1.5b,humaneval,HumanEval/103,"```python
from typing import *
import math

def rounded_avg(n: int, m: int) -> str:
    if n > m:
        return -1
    
    total = sum(range(n, m + 1))
    avg = round(total / (m - n + 1))
    
    return bin(avg)[2:]
```",0.0,False,AssertionError
1.5b,humaneval,HumanEval/107,"```python
from typing import Tuple

def even_odd_palindrome(n: int) -> Tuple[int, int]:
    def is_palindrome(num: int) -> bool:
        return str(num) == str(num)[::-1]

    even_count = 0
    odd_count = 0

    for i in range(1, n + 1):
        if is_palindrome(i):
            if i % 2 == 0:
                even_count += 1
            else:
                odd_count += 1

    return even_count, odd_count
```",1.0,True,
1.5b,humaneval,HumanEval/108,"```python
from typing import List

def count_nums(arr: List[int]) -> int:
    def sum_of_digits(n: int) -> int:
        if n < 0:
            return -sum(int(digit) for digit in str(abs(n)))
        else:
            return sum(int(digit) for digit in str(n))

    return sum(1 for num in arr if sum_of_digits(num) > 0)
```",0.0,False,AssertionError
1.5b,humaneval,HumanEval/114,"```python
from typing import List

def minSubArraySum(nums: List[int]) -> int:
    if not nums:
        return 0
    
    current_sum = nums[0]
    min_sum = nums[0]
    
    for num in nums[1:]:
        current_sum = min(num, current_sum + num)
        min_sum = min(min_sum, current_sum)
    
    return min_sum
```",1.0,True,
1.5b,humaneval,HumanEval/129,"```python
from typing import List

def minPath(grid: List[List[int]], k: int) -> List[int]:
    n = len(grid)
    directions = [(0, 1), (1, 0), (-1, 0), (0, -1)]
    
    def dfs(x, y, path, steps):
        if steps == k:
            return path
        
        min_path = []
        for dx, dy in directions:
            nx, ny = x + dx, y + dy
            if 0 <= nx < n and 0 <= ny < n:
                new_path = dfs(nx, ny, path + [grid[nx][ny]], steps + 1)
                if not min_path or new_path < min_path:
                    min_path = new_path
        
        return min_path
    
    min_path = None
    for i in range(n):
        for j in range(n):
            result = dfs(i, j, [grid[i][j]], 1)
            if not min_path or result < min_path:
                min_path = result
    
    return min_path
```",1.0,True,
1.5b,humaneval,HumanEval/135,"```python
from typing import List

def can_arrange(arr: List[int]) -> int:
    for i in range(1, len(arr)):
        if arr[i] < arr[i-1]:
            return i
    return -1
```",0.0,False,AssertionError
1.5b,humaneval,HumanEval/138,"```python
from typing import *
from collections import *

def is_equal_to_sum_even(n: int) -> bool:
    """"""
    Evaluate whether the given number n can be written as the sum of exactly 4 positive even numbers
    Example
    is_equal_to_sum_even(4) == False
    is_equal_to_sum_even(6) == False
    is_equal_to_sum_even(8) == True
    """"""
    if n % 2 != 0 or n < 8:
        return False
    # Since each even number is at least 2, we need to find three more even numbers that add up to n - 6
    # The smallest possible sum of three even numbers is 2 + 2 + 2 = 6
    # Therefore, n - 6 must be greater than or equal to 6
    return (n - 6) >= 6
```",0.0,False,AssertionError
1.5b,humaneval,HumanEval/139,"```python
from math import factorial

def special_factorial(n):
    """"""The Brazilian factorial is defined as:
    brazilian_factorial(n) = n! * (n-1)! * (n-2)! * ... * 1!
    where n > 0

    For example:
    >>> special_factorial(4)
    288

    The function will receive an integer as input and should return the special
    factorial of this integer.
    """"""
    result = 1
    for i in range(1, n + 1):
        result *= factorial(i)
    return result
```",1.0,True,
1.5b,humaneval,HumanEval/143,"```python
from typing import List

def words_in_sentence(sentence: str) -> str:
    """"""
    You are given a string representing a sentence,
    the sentence contains some words separated by a space,
    and you have to return a string that contains the words from the original sentence,
    whose lengths are prime numbers,
    the order of the words in the new string should be the same as the original one.

    Example 1:
        Input: sentence = ""This is a test""
        Output: ""is""

    Example 2:
        Input: sentence = ""lets go for swimming""
        Output: ""go for""

    Constraints:
        * 1 <= len(sentence) <= 100
        * sentence contains only letters
    """"""
    
    def is_prime(n: int) -> bool:
        if n <= 1:
            return False
        if n == 2:
            return True
        if n % 2 == 0:
            return False
        i = 3
        while i * i <= n:
            if n % i == 0:
                return False
            i += 2
        return True
    
    words = sentence.split()
    prime_words = [word for word in words if is_prime(len(word))]
    return ' '.join(prime_words)
```",1.0,True,
1.5b,humaneval,HumanEval/148,"```python
from typing import Tuple

def bf(planet1: str, planet2: str) -> Tuple[str]:
    """"""
    There are eight planets in our solar system: the closerst to the Sun 
    is Mercury, the next one is Venus, then Earth, Mars, Jupiter, Saturn, 
    Uranus, Neptune.
    Write a function that takes two planet names as strings planet1 and planet2. 
    The function should return a tuple containing all planets whose orbits are 
    located between the orbit of planet1 and the orbit of planet2, sorted by 
    the proximity to the sun. 
    The function should return an empty tuple if planet1 or planet2
    are not correct planet names. 
    Examples
    bf(""Jupiter"", ""Neptune"") ==> (""Saturn"", ""Uranus"")
    bf(""Earth"", ""Mercury"") ==> (""Venus"")
    bf(""Mercury"", ""Uranus"") ==> (""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"")
    """"""
    planets = [""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune""]
    
    if planet1 not in planets or planet2 not in planets:
        return ()
    
    index1 = planets.index(planet1)
    index2 = planets.index(planet2)
    
    if index1 > index2:
        index1, index2 = index2, index1
    
    return tuple(planets[index1+1:index2])
```",1.0,True,
1.5b,humaneval,HumanEval/149,"```python
from typing import List

def sorted_list_sum(lst: List[str]) -> List[str]:
    # Filter out strings with odd lengths
    even_length_strings = [s for s in lst if len(s) % 2 == 0]
    
    # Sort the filtered list by length and then alphabetically
    sorted_even_length_strings = sorted(even_length_strings, key=lambda x: (len(x), x))
    
    return sorted_even_length_strings
```",1.0,True,
1.5b,humaneval,HumanEval/151,"```python
from typing import List

def double_the_difference(lst: List[int]) -> int:
    """"""
    Given a list of numbers, return the sum of squares of the numbers
    in the list that are odd. Ignore numbers that are negative or not integers.
    
    double_the_difference([1, 3, 2, 0]) == 1 + 9 + 0 + 0 = 10
    double_the_difference([-1, -2, 0]) == 0
    double_the_difference([9, -2]) == 81
    double_the_difference([0]) == 0  
   
    If the input list is empty, return 0.
    """"""
    return sum(x**2 for x in lst if isinstance(x, int) and x > 0 and x % 2 != 0)
```",1.0,True,
1.5b,humaneval,HumanEval/152,"```python
from typing import List

def compare(game: List[int], guess: List[int]) -> List[int]:
    """"""
    I think we all remember that feeling when the result of some long-awaited
    event is finally known. The feelings and thoughts you have at that moment are
    definitely worth noting down and comparing.
    Your task is to determine if a person correctly guessed the results of a number of matches.
    You are given two arrays of scores and guesses of equal length, where each index shows a match. 
    Return an array of the same length denoting how far off each guess was. If they have guessed correctly,
    the value is 0, and if not, the value is the absolute difference between the guess and the score.
    
    example:

    compare([1,2,3,4,5,1],[1,2,3,4,2,-2]) -> [0,0,0,0,3,3]
    compare([0,5,0,0,0,4],[4,1,1,0,0,-2]) -> [4,4,1,0,0,6]
    """"""
    return [abs(a - b) for a, b in zip(guess, game)]
```",1.0,True,
1.5b,humaneval,HumanEval/155,"```python
from typing import Tuple

def even_odd_count(num: int) -> Tuple[int, int]:
    """"""
    Given an integer. return a tuple that has the number of even and odd digits respectively.

    Example:
        even_odd_count(-12) ==> (1, 1)
        even_odd_count(123) ==> (1, 2)
    """"""
    num_str = str(abs(num))
    even_count = sum(1 for digit in num_str if int(digit) % 2 == 0)
    odd_count = len(num_str) - even_count
    return even_count, odd_count
```",1.0,True,
1.5b,humaneval,HumanEval/156,"```python
from typing import *
from collections import *

def int_to_mini_roman(number):
    """"""
    Given a positive integer, obtain its roman numeral equivalent as a string,
    and return it in lowercase.
    Restrictions: 1 <= num <= 1000

    Examples:
    >>> int_to_mini_roman(19) == 'xix'
    >>> int_to_mini_roman(152) == 'clii'
    >>> int_to_mini_roman(426) == 'cdxxvi'
    """"""
    # Define the mapping of integers to their corresponding Roman numerals
    roman_numerals = [
        (1000, 'm'), (900, 'cm'), (500, 'd'), (400, 'cd'),
        (100, 'c'), (90, 'xc'), (50, 'l'), (40, 'xl'),
        (10, 'x'), (9, 'ix'), (5, 'v'), (4, 'iv'), (1, 'i')
    ]
    
    result = ''
    for value, symbol in roman_numerals:
        while number >= value:
            result += symbol
            number -= value
    
    return result.lower()
```",1.0,True,
1.5b,humaneval,HumanEval/161,"```python
import re

def solve(s):
    """"""
    You are given a string s.
    if s[i] is a letter, reverse its case from lower to upper or vise versa, 
    otherwise keep it as it is.
    If the string contains no letters, reverse the string.
    The function should return the resulted string.
    Examples
    solve(""1234"") = ""4321""
    solve(""ab"") = ""AB""
    solve(""#a@C"") = ""#A@c""
    """"""
    # Check if the string contains any letters
    if not re.search('[a-zA-Z]', s):
        # Reverse the string if no letters are present
        return s[::-1]
    
    # Iterate through each character in the string
    for i in range(len(s)):
        # Check if the character is a letter
        if s[i].isalpha():
            # Reverse the case of the letter
            s = s[:i] + s[i].swapcase() + s[i+1:]
    
    return s
```",1.0,True,
1.5b,humaneval,HumanEval/163,"```python
from typing import List

def generate_integers(a: int, b: int) -> List[int]:
    """"""
    Given two positive integers a and b, return the even digits between a
    and b, in ascending order.

    For example:
    generate_integers(2, 8) => [2, 4, 6, 8]
    generate_integers(8, 2) => [2, 4, 6, 8]
    generate_integers(10, 14) => []
    """"""
    # Ensure a is less than or equal to b
    if a > b:
        a, b = b, a
    
    # Generate all numbers from a to b
    numbers = list(range(a, b + 1))
    
    # Filter out odd numbers and convert to set for uniqueness
    even_numbers = {num for num in numbers if num % 2 == 0}
    
    # Convert the set back to a sorted list
    sorted_even_numbers = sorted(even_numbers)
    
    return sorted_even_numbers
```",0.0,False,AssertionError: Test 1
1.5b,mbpp,mbpp/12,"```python
from typing import List

def sort_matrix(matrix: List[List[int]]) -> List[List[int]]:
    """"""
    Sorts a given matrix in ascending order according to the sum of its rows.
    
    Args:
    matrix (List[List[int]]): The matrix to be sorted.
    
    Returns:
    List[List[int]]: The sorted matrix.
    """"""
    # Calculate the sum of each row
    sums = [sum(row) for row in matrix]
    
    # Sort the indices based on the sum of their corresponding rows
    sorted_indices = sorted(range(len(sums)), key=lambda i: sums[i])
    
    # Create a new matrix with sorted rows
    sorted_matrix = [matrix[i] for i in sorted_indices]
    
    return sorted_matrix
```",1.0,True,
1.5b,mbpp,mbpp/19,"```python
from typing import List

def test_duplicate(arr: List[int]) -> bool:
    """"""
    Check if the given list contains any duplicate elements.

    Args:
    arr (List[int]): The list of integers to check for duplicates.

    Returns:
    bool: True if there is at least one duplicate element, False otherwise.
    """"""
    seen = set()
    for num in arr:
        if num in seen:
            return True
        seen.add(num)
    return False
```",1.0,True,
